time,ControlsOut.TS_current,CellVoltages.MinVoltage
775.9657,-23.764002,
775.9687,-23.840002,
775.9727,-23.650002,
775.9767,-23.650002,
775.9817,-22.942001,
775.9857,-22.654001,
775.9887,-22.815,
775.9927,-22.594002,
775.9977,-22.52,
776.0007,-22.269001,
776.0047,-22.334002,
776.0087,-22.562,
776.0137,-22.474,
776.0167,-22.446001,
776.0217,-22.465,
776.0247,-22.361002,
776.0287,-22.577002,
776.0337,-22.577002,
776.0377,-22.298,
776.0407,-22.331001,
776.0457,-22.311,
776.0487,-22.153002,
776.0527,-21.269001,
776.0577,-21.036001,
776.0617,-20.970001,
776.0657,-20.477001,
776.0687,-20.477001,
776.0737,-20.477001,
776.0777,-20.811,
776.0807,-20.679,
776.0847,-20.065,
776.0887,-19.747002,
776.0927,-19.747002,
776.0957,,3.4069
776.0977,-19.747002,
776.1017,-19.578001,
776.1057,-19.151001,
776.1087,-19.203001,
776.1137,-19.173,
776.1177,-19.054,
776.1217,-18.720001,
776.1257,-18.603,
776.1287,-18.641,
776.1337,-18.564001,
776.1377,-18.52,
776.1407,-18.52,
776.1457,-18.637001,
776.1487,-18.122002,
776.1537,-18.164001,
776.1577,-18.395,
776.1627,-17.941,
776.1657,-17.650002,
776.1687,-17.688002,
776.1737,-17.663,
776.1777,-17.734001,
776.1807,-17.504002,
776.1857,-17.504002,
776.1887,-17.694,
776.1937,-16.771,
776.1977,-16.771,
776.2017,-15.975,
776.2057,-15.805,
776.2087,-15.805,
776.2137,-15.262001,
776.2177,-14.900001,
776.2207,-14.644001,
776.2257,-14.191001,
776.2287,-14.937,
776.2337,-13.408001,
776.2367,-13.238001,
776.2417,-12.877001,
776.2457,-12.8,
776.2487,-12.189,
776.2527,-12.086,
776.2577,-11.860001,
776.2627,-11.6310005,
776.2647,-11.362,
776.2687,-11.362,
776.2737,-11.362,
776.2767,-10.303,
776.2817,-9.88,
776.2857,-9.88,
776.2887,-9.304001,
776.2927,-9.120001,
776.296,,3.4081
776.2977,-9.120001,
776.3017,-8.215,
776.3057,-7.1720004,
776.3087,-6.4630003,
776.3137,-5.602,
776.3167,-4.8570004,
776.3217,-3.9670002,
776.3257,-2.996,
776.3287,-2.996,
776.3337,-2.3030002,
776.3367,-2.214,
776.3407,-1.9900001,
776.3457,-1.7730001,
776.3487,-2.8100002,
776.3527,-1.393,
776.3577,-0.994,
776.3617,-0.994,
776.3657,-0.528,
776.3687,0.29000002,
776.3727,0.48200002,
776.3767,0.51000005,
776.3832,0.505,
776.3862,0.61700004,
776.3902,0.82500005,
776.3942,1.0450001,
776.3992,0.785,
776.4022,0.785,
776.4072,0.44000003,
776.4102,0.157,
776.4152,0.20500001,
776.4192,0.307,
776.4222,0.72700006,
776.4272,0.89800006,
776.4302,1.192,
776.4342,1.5860001,
776.4392,1.5860001,
776.4422,1.9080001,
776.4472,1.0450001,
776.4502,1.503,
776.4542,1.7080001,
776.4592,1.8390001,
776.4642,2.052,
776.4662,2.052,
776.4702,2.052,
776.4752,2.052,
776.4792,3.1650002,
776.4822,3.2150002,
776.4872,3.2150002,
776.4912,3.2990003,
776.4942,3.6310003,
776.4955,,3.3968
776.4982,3.6310003,
776.5032,3.9240003,
776.5062,3.946,
776.5102,3.8840003,
776.5152,4.1990004,
776.5182,4.079,
