time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.3774,,,,3.972,,,0.002,,,,
0.3774,3.972,3.9720075,,,3.9723477,0.0,,0.002,0.551,-1.8363845e-11,0.8670268
0.3814,,,,3.972,,,-0.006,,,,
0.3814,3.972,3.9720092,,,3.9723477,0.0,,-0.006,0.16900001,-1.7238306e-11,0.8670268
0.3854,3.972,3.97201,,,3.9723477,0.0,,-0.003,0.29700002,-1.6249295e-11,0.8670268
0.3854,,,,3.972,,,-0.003,,,,
0.3894,,,,3.972,,,0.0050000004,,,,
0.3894,3.972,3.972009,,,3.9723477,0.0,,0.0050000004,0.38200003,-1.8369396e-11,0.8670268
0.3934,,,,3.972,,,-0.008,,,,
0.3934,3.972,3.9720109,,,3.9723477,0.0,,-0.008,0.46600002,-1.4231317e-11,0.8670268
0.3974,3.972,3.9720118,,,3.9723477,0.0,,-0.0050000004,0.33900002,-1.2349866e-11,0.8670268
0.3974,,,,3.972,,,-0.0050000004,,,,
0.4014,,,,3.972,,,-0.0050000004,,,,
0.4014,3.972,3.9720125,,,3.9723477,0.0,,-0.0050000004,0.254,-1.09401654e-11,0.8670268
0.4054,3.972,3.9720109,,,3.9723477,0.0,,0.006,0.29700002,-1.2918186e-11,0.8670268
0.4054,,,,3.972,,,0.006,,,,
0.4094,,,,3.972,,,0.003,,,,
0.4094,3.972,3.9720101,,,3.9723477,0.0,,0.003,0.42400002,-1.43301065e-11,0.8670268
0.4144,3.972,3.9720087,,,3.9723477,0.0,,0.006,0.29700002,-1.6308127e-11,0.8670268
0.4144,,,,3.972,,,0.006,,,,
0.4174,3.972,3.9720078,,,3.9723477,0.0,,0.0050000004,0.33900002,-1.8189577e-11,0.8670268
0.4174,,,,3.972,,,0.0050000004,,,,
0.4214,,,,3.972,,,0.010000001,,,,
0.4214,3.972,3.972006,,,3.9723477,0.0,,0.010000001,0.509,-2.3839477e-11,0.8670268
0.4244,3.972,3.9720044,,,3.9723477,0.0,,0.011000001,0.33900002,-2.7978668e-11,0.8670268
0.4254,,,,3.972,,,0.011000001,,,,
0.4294,3.972,3.9720042,,,3.9723477,0.0,,0.0050000004,0.63600004,-3.150847e-11,0.8670268
0.4294,,,,3.972,,,0.0050000004,,,,
0.4324,3.972,3.9720047,,,3.9723477,0.0,,0.002,0.29700002,-3.2167807e-11,0.8670268
0.4334,,,,3.972,,,0.002,,,,
0.4374,,,,3.972,,,0.0050000004,,,,
0.4374,3.972,3.9720044,,,3.9723477,0.0,,0.0050000004,0.29700002,-3.3816158e-11,0.8670268
0.4414,,,,3.972,,,0.003,,,,
0.4414,3.972,3.9720047,,,3.9723477,0.0,,0.003,0.29700002,-3.480517e-11,0.8670268
0.4444,3.972,3.9720027,,,3.9723477,0.0,,0.014,0.509,-4.2715026e-11,0.8670268
0.4454,,,,3.972,,,0.014,,,,
0.4494,,,,3.972,,,-0.003,,,,
0.4494,3.972,3.9720047,,,3.9723477,0.0,,-0.003,0.551,-4.0880195e-11,0.8670268
0.4534,,,,3.972,,,-0.003,,,,
0.4534,3.972,3.972006,,,3.9723477,0.0,,-0.003,0.46600002,-3.9328416e-11,0.8670268
0.4574,3.972,3.9720085,,,3.9723477,0.0,,-0.008,0.509,-3.4808496e-11,0.8670268
0.4574,,,,3.972,,,-0.008,,,,
0.4614,3.972,3.9720092,,,3.9723477,0.0,,-0.002,0.29700002,-3.4149156e-11,0.8670268
0.4614,,,,3.972,,,-0.002,,,,
0.4654,3.972,3.9720097,,,3.9723477,0.0,,-0.002,0.33900002,-3.3396577e-11,0.8670268
0.4664,,,,3.972,,,-0.002,,,,
0.4694,,,,3.972,,,0.002,,,,
0.4694,3.972,3.9720092,,,3.9723477,0.0,,0.002,0.254,-3.3960456e-11,0.8670268
0.4724,3.972,3.97201,,,3.9723477,0.0,,-0.003,0.127,-3.3537544e-11,0.8670268
0.4724,,,,3.972,,,-0.003,,,,
0.4774,,,,3.972,,,-0.003,,,,
0.4774,3.972,3.9720106,,,3.9723477,0.0,,-0.003,0.127,-3.3114636e-11,0.8670268
0.4824,,,,3.972,,,-0.003,,,,
0.4824,3.972,3.972011,,,3.9723477,0.0,,-0.003,0.127,-3.2691724e-11,0.8670268
0.4854,3.972,3.9720097,,,3.9723477,0.0,,0.006,0.42400002,-3.5515566e-11,0.8670268
0.4864,,,,3.972,,,0.006,,,,
0.4894,3.972,3.9720085,,,3.9723477,0.0,,0.006,0.509,-3.8905504e-11,0.8670268
0.4894,,,,3.972,,,0.006,,,,
0.4934,3.972,3.9720087,,,3.9723477,0.0,,-0.0,0.21200001,-3.8905504e-11,0.8670268
0.4934,,,,3.972,,,-0.0,,,,
0.4974,,,,3.972,,,0.006,,,,
0.4974,3.972,3.9720075,,,3.9723477,0.0,,0.006,0.16900001,-4.0031048e-11,0.8670268
0.5014,3.9720998,3.9720266,,,3.9723477,0.0,,-0.010000001,0.16900001,-3.8155146e-11,0.8670268
0.5014,,,,3.9720998,,,-0.010000001,,,,
0.5025,,,3.9721,,,,,,,,
0.5044,,,,3.9720998,,,-0.010000001,,,,
0.5044,3.9720998,3.9720426,,,3.9723477,0.0,,-0.010000001,0.16900001,-3.6279247e-11,0.8670268
0.5094,,,,3.9720998,,,-0.003,,,,
0.5094,3.9720998,3.9720545,,,3.9723477,0.0,,-0.003,0.29700002,-3.5290236e-11,0.8670268
0.5124,3.9720998,3.9720626,,,3.9723477,0.0,,0.0050000004,0.29700002,-3.6938588e-11,0.8670268
0.5144,,,,3.9720998,,,0.0050000004,,,,
0.5174,,,,3.9720998,,,0.003,,,,
0.5174,3.9720998,3.9720697,,,3.9723477,0.0,,0.003,0.33900002,-3.806746e-11,0.8670268
0.5214,3.9720998,3.9720757,,,3.9723477,0.0,,0.003,0.16900001,-3.863023e-11,0.8670268
0.5214,,,,3.9720998,,,0.003,,,,
0.5254,,,,3.9720998,,,0.001,,,,
0.5254,3.9720998,3.9720812,,,3.9723477,0.0,,0.001,0.551,-3.924184e-11,0.8670268
