time,CellVoltages.MinVoltage,ControlsOut.TS_current
17.8246,,4.3170004
17.8286,,4.551
17.8316,,4.8110003
17.8366,,4.1390004
17.8406,,1.651
17.8446,,1.651
17.8486,,0.947
17.8516,,0.869
17.8566,,0.625
17.8606,,0.59000003
17.8636,,0.48800004
17.8686,,0.21000001
17.8716,,0.101
17.8766,,0.101
17.8796,,-0.008
17.8836,,-0.008
17.8886,,-0.008
17.8926,,0.089
17.8966,,0.201
17.9006,,0.527
17.9046,,0.527
17.9086,,1.7590001
17.9116,,1.7590001
17.914,3.8231,
17.9166,,1.7590001
17.9206,,1.8340001
17.9246,,2.26
17.9286,,2.628
17.9316,,2.473
17.9366,,2.6060002
17.9406,,2.3390002
17.9436,,2.276
17.9486,,2.345
17.9526,,2.469
17.9566,,2.118
17.9606,,2.118
17.9646,,0.84200007
17.9686,,0.84200007
17.9726,,2.1320002
17.9766,,2.884
17.9806,,2.6450002
17.9856,,2.355
17.9886,,2.812
17.9926,,2.3690002
17.9966,,2.453
18.0006,,2.453
18.0046,,2.3100002
18.0086,,2.8130002
18.0126,,2.736
18.0166,,2.815
18.0233,,2.887
18.0273,,2.7600002
18.0313,,2.953
18.0353,,2.953
18.0403,,3.6350002
18.0433,,3.348
18.0473,,3.3000002
18.0513,,3.509
18.0543,,3.223
18.0593,,2.926
18.0633,,2.49
18.0673,,1.9950001
18.0713,,1.4760001
18.0743,,1.2700001
18.0793,,0.637
18.0833,,0.432
18.0863,,0.432
18.0913,,0.432
18.0953,,0.71300006
18.0993,,0.75200003
18.1033,,0.75200003
18.1073,,0.65300006
18.1113,,0.97400004
18.1118,3.8332,
18.1143,,0.97400004
18.1193,,0.97400004
18.1233,,1.22
18.1263,,1.3050001
18.1313,,1.3050001
18.1353,,1.649
18.1393,,1.843
18.1433,,1.9800001
18.1473,,1.8270001
18.1513,,1.784
18.1543,,1.8730001
18.1593,,1.8730001
18.1633,,1.7530001
18.1673,,2.17
18.1713,,2.17
18.1743,,1.9230001
18.1793,,2.1290002
18.1833,,1.904
18.1883,,1.904
18.1913,,2.1880002
18.1943,,1.7880001
18.1993,,2.0740001
18.2033,,2.26
18.2073,,2.161
18.2113,,2.4980001
18.2153,,2.4120002
18.2193,,2.4120002
18.2233,,2.3920002
18.2273,,1.424
18.2313,,1.424
18.2353,,1.1680001
18.2393,,1.373
18.2433,,0.753
18.2473,,1.024
18.2513,,0.53300005
18.2553,,0.268
18.2593,,0.46600002
18.2633,,0.021000002
18.2673,,0.601
18.2713,,1.1350001
18.2743,,1.58
18.2793,,2.378
18.2833,,2.275
18.2863,,2.275
18.2913,,2.275
18.2943,,2.397
18.2993,,1.8750001
18.3033,,1.8750001
18.3073,,1.6100001
18.3113,,1.184
18.3143,,1.184
18.3151,3.8331,
18.3193,,1.184
18.3233,,0.41900003
18.3273,,0.9110001
18.3313,,0.9620001
18.3353,,0.97700006
18.3393,,1.771
18.3433,,1.7630001
18.3473,,2.269
18.3513,,2.5800002
18.3553,,3.009
18.3593,,4.0350003
18.3633,,4.0350003
18.3673,,5.5280004
18.3713,,7.4160004
18.3743,,9.831
18.3793,,12.311001
18.3833,,15.532001
18.3883,,18.088001
18.3913,,21.588001
18.3943,,25.391
18.3993,,27.823002
18.4033,,29.593002
18.4073,,30.539001
18.4113,,31.952002
18.4143,,31.952002
18.4193,,32.401
18.4253,,31.87
18.4273,,31.683
18.4313,,31.065
18.4343,,29.809002
18.4393,,28.378002
18.4433,,27.291
18.4473,,27.199001
18.4513,,26.574001
18.4553,,26.574001
18.4593,,26.243002
18.4633,,25.807001
18.4673,,25.092001
18.4713,,25.101002
18.4743,,24.842001
18.4793,,24.852001
18.4823,,24.524002
18.4883,,24.524002
18.4913,,24.524002
18.4953,,24.307001
18.4993,,24.321001
18.5033,,24.321001
18.5073,,24.386002
18.5113,,24.635
18.5117,3.8319,
18.5143,,24.635
18.5193,,24.561
18.5223,,24.62
18.5273,,24.801
18.5313,,24.801
18.5343,,24.107
18.5393,,23.821001
18.5433,,23.636002
18.5473,,23.338001
18.5513,,23.338001
18.5553,,22.337002
18.5593,,22.091002
18.5633,,21.617
18.5673,,21.348001
18.5713,,21.126001
18.5753,,21.304
18.5793,,21.108002
18.5833,,20.872002
18.5883,,20.872002
18.5913,,20.980001
18.5953,,21.268002
18.5993,,21.268002
18.6033,,21.201
18.6073,,21.427002
18.6113,,20.752
18.6153,,20.144001
18.6193,,19.727001
18.6233,,19.645
18.6273,,19.645
18.6313,,19.072
18.6353,,19.241001
18.6393,,18.881
18.6433,,18.564001
18.6463,,18.244001
18.6513,,18.228
18.6553,,18.550001
18.6593,,18.710001
18.6633,,18.869001
18.6673,,18.816
18.6713,,18.816
